ticker,close,pct_change_1w,avg_volume_5d,listing
CINF,153.36,-0.03,323620,USD
MOH,174.65,-0.04,1563260,USD
FTS.TO,68.18,-0.04,1531260,CAD
MRU.TO,97.31,-0.04,498860,CAD
TROW,108.16,-0.11,2173180,USD
GM,58.27,-0.12,6133500,USD
ED,98.05,-0.12,3060760,USD
YUM,144.58,-0.13,1514340,USD
RF,27.03,-0.13,17727520,USD
NWSA,29.44,-0.14,3641400,USD
JBHT,143.73,-0.17,848500,USD
SLF.TO,79.98,-0.17,2903960,CAD
FE,43.48,-0.18,2951940,USD
IEX,164.93,-0.18,681640,USD
DASH,246.85,-0.19,2578880,USD
AXP,326.22,-0.24,3020360,USD
WSP.TO,281.47,-0.25,157740,CAD
EMA.TO,64.81,-0.25,888820,CAD
RY.TO,200.22,-0.27,1964520,CAD
FTV,47.87,-0.29,3201380,USD
UNP,220.31,-0.3,4490400,USD
EXPD,120.91,-0.31,1043380,USD
IVZ,21.99,-0.32,3461820,USD
BG,84.33,-0.35,2122360,USD
PNW,89.0,-0.36,749940,USD
EW,80.94,-0.36,2912040,USD
CPRT,48.57,-0.37,9259040,USD
POW.TO,57.96,-0.4,1472860,CAD
TOU.TO,57.99,-0.41,1577760,CAD
SRE,81.11,-0.41,3752960,USD
ETR,87.75,-0.43,2102300,USD
GL,139.81,-0.46,427360,USD
CTC-A.TO,169.97,-0.47,193980,CAD
ACN,254.95,-0.48,3535940,USD
EIX,54.45,-0.49,3105660,USD
SO,91.78,-0.5,3362020,USD
GPN,87.78,-0.5,2116240,USD
CMI,399.85,-0.52,731380,USD
PTC,213.9,-0.53,737380,USD
IP,48.69,-0.55,3442340,USD
IQV,187.68,-0.56,1209200,USD
TFC,46.52,-0.58,7051900,USD
FTNT,78.83,-0.58,6658480,USD
PNC,204.4,-0.59,1599420,USD
KO,67.96,-0.59,22732140,USD
ALL,201.53,-0.61,1154000,USD
IDXX,642.99,-0.62,385960,USD
LNT,64.62,-0.62,1733480,USD
GD,322.86,-0.63,801420,USD
LLY,727.21,-0.65,2874720,USD
NRG,147.66,-0.67,1699100,USD
AMGN,283.64,-0.69,2155280,USD
PAYC,224.12,-0.7,635500,USD
IT,245.91,-0.73,1103900,USD
VLTO,105.71,-0.74,937640,USD
EXC,43.43,-0.75,5348180,USD
CAE.TO,36.86,-0.78,474600,CAD
FFIV,315.89,-0.79,470980,USD
CHTR,261.5,-0.81,2121720,USD
NOC,580.8,-0.82,553300,USD
PH,758.56,-0.84,550060,USD
CFG,51.71,-0.86,3376080,USD
BAC,49.77,-0.88,39683460,USD
PGR,243.86,-0.91,2207740,USD
CDNS,351.01,-0.93,1133820,USD
ZTS,153.32,-0.95,1772400,USD
CSGP,89.46,-0.96,1888280,USD
PSX,131.55,-0.96,1919260,USD
HBAN,17.63,-0.96,29772520,USD
FDS,371.01,-0.98,358640,USD
CARR,65.51,-1.0,5939420,USD
APA,22.75,-1.0,6635960,USD
DAY,69.0,-1.0,1837200,USD
J,145.42,-1.01,579180,USD
SLB,35.82,-1.02,14935140,USD
HII,271.13,-1.02,404440,USD
WAB,193.18,-1.02,1027380,USD
MA,584.22,-1.06,2088180,USD
KEY,18.94,-1.07,25929960,USD
REGN,573.38,-1.07,959480,USD
LRCX,102.95,-1.1,10971960,USD
PPG,109.98,-1.11,1544220,USD
CBOE,232.58,-1.14,870060,USD
BX,169.99,-1.18,2713040,USD
ES,63.53,-1.2,1891180,USD
GS,738.21,-1.21,1769940,USD
AVY,168.06,-1.22,613800,USD
LHX,272.39,-1.24,1214320,USD
EME,625.4,-1.24,341540,USD
DAL,61.18,-1.27,6487780,USD
SYF,75.61,-1.27,2461140,USD
LDOS,179.0,-1.3,729040,USD
TRI.TO,241.93,-1.31,357960,CAD
MMC,203.74,-1.31,2148440,USD
APH,110.45,-1.33,8113560,USD
WMB,57.2,-1.38,6407980,USD
EA,168.62,-1.39,2563720,USD
MS,148.09,-1.39,4590160,USD
HLT,272.3,-1.39,1558360,USD
LYB,55.08,-1.4,4277480,USD
ADBE,348.97,-1.41,3896800,USD
ALGN,139.12,-1.42,1246460,USD
MMM,155.3,-1.43,2956560,USD
DUK,120.61,-1.44,2360560,USD
EQT,51.6,-1.45,5972340,USD
RSG,229.73,-1.45,891720,USD
FIS,68.74,-1.45,3411120,USD
WCN.TO,248.41,-1.46,268340,CAD
ISRG,466.86,-1.47,3099800,USD
C,95.4,-1.47,13513900,USD
CRM,250.76,-1.48,15615340,USD
EMR,132.55,-1.49,2668800,USD
BRO,94.79,-1.49,1909440,USD
GRMN,237.39,-1.52,1050060,USD
AMAT,162.75,-1.52,7100100,USD
FDX,227.72,-1.54,1745180,USD
KMI,26.59,-1.55,11995000,USD
ROP,518.44,-1.55,681680,USD
D,58.19,-1.59,4606400,USD
NOW,913.8,-1.59,1490920,USD
IFF,66.03,-1.59,1886960,USD
MET,79.51,-1.6,3244980,USD
HAL,22.1,-1.6,10813300,USD
EQIX,773.68,-1.61,412400,USD
PCAR,99.05,-1.62,2215800,USD
ICE,174.27,-1.62,2591840,USD
CCI,96.15,-1.63,4044240,USD
CCL-B.TO,80.43,-1.63,258080,CAD
CTRA,23.98,-1.64,4850180,USD
PPL,35.96,-1.64,5660360,USD
NEE,70.9,-1.65,10465540,USD
NUE,147.26,-1.7,1150920,USD
SPGI,538.06,-1.73,947960,USD
APD,289.86,-1.75,622020,USD
INTC,24.49,-1.76,56796800,USD
GDDY,145.24,-1.77,1571120,USD
ETN,349.03,-1.78,2070280,USD
EXE,95.51,-1.78,2388740,USD
PEG,81.12,-1.78,2103240,USD
TRMB,80.74,-1.79,1442280,USD
BALL,50.94,-1.8,2263920,USD
CME,261.94,-1.81,2064360,USD
CTAS,204.5,-1.83,1860340,USD
DOV,177.75,-1.83,799120,USD
NDAQ,93.48,-1.85,2829580,USD
AQN.TO,7.84,-1.88,1505740,CAD
FI,135.05,-1.89,3784900,USD
V,343.22,-1.9,4512000,USD
RJF,165.5,-1.9,944720,USD
HUBB,436.04,-1.9,436719,USD
NWS,33.4,-1.91,732400,USD
LYV,163.42,-1.92,1770940,USD
RTX,157.52,-1.95,3407620,USD
ECL,273.56,-1.96,1222720,USD
CHRW,126.13,-1.97,1473420,USD
STT,112.95,-1.99,1611960,USD
WM,220.06,-2.01,1868660,USD
MCO,499.03,-2.04,608200,USD
MAR,264.7,-2.05,1187840,USD
GWW,993.47,-2.07,327500,USD
AMT,198.32,-2.09,3299920,USD
DG,109.28,-2.18,2917220,USD
IMO.TO,120.9,-2.19,1029240,CAD
SU.TO,55.4,-2.19,14194720,CAD
KDP,28.65,-2.19,28781200,USD
JPM,294.38,-2.22,7354680,USD
INVH,30.25,-2.23,4202620,USD
BEN,24.97,-2.23,3755340,USD
JCI,106.23,-2.23,3953440,USD
NTRS,127.27,-2.24,996600,USD
BK,103.69,-2.27,2717760,USD
SNPS,598.14,-2.29,1153580,USD
HAS,79.73,-2.29,1356800,USD
BLK,1099.15,-2.31,421580,USD
LIN,469.52,-2.31,1533080,USD
GEN,29.5,-2.35,3736760,USD
BR,251.02,-2.35,649020,USD
HOOD,101.25,-2.35,35770360,USD
MSCI,555.15,-2.36,692080,USD
KMX,60.7,-2.36,2879700,USD
PAYX,135.44,-2.36,1843620,USD
BIP-UN.TO,42.27,-2.38,352118,CAD
XYL,140.56,-2.4,1113140,USD
BKNG,5505.8,-2.42,199220,USD
EL,89.2,-2.43,3357720,USD
ADI,247.07,-2.44,3096000,USD
COF,221.53,-2.47,3101780,USD
DHR,200.21,-2.47,2869640,USD
CTVA,72.3,-2.48,3372520,USD
TT,413.83,-2.51,1480340,USD
PM,161.55,-2.55,6119380,USD
ZBRA,313.8,-2.55,479300,USD
UPS,85.04,-2.56,8730060,USD
PYPL,68.26,-2.57,10434540,USD
CPAY,316.65,-2.62,290760,USD
ADP,295.97,-2.67,1566200,USD
ROK,339.76,-2.68,641180,USD
EPAM,169.46,-2.71,638500,USD
CAT,423.08,-2.72,2195560,USD
BAM.TO,80.66,-2.76,3151100,CAD
TRGP,162.35,-2.76,1219220,USD
BA,229.61,-2.77,5927800,USD
CCO.TO,105.13,-2.78,1301400,CAD
PRU,105.71,-2.79,1584640,USD
CCL,31.57,-2.83,12990720,USD
TDG,1271.04,-2.83,403640,USD
MSFT,495.0,-2.87,20583180,USD
RVTY,86.64,-2.9,1400520,USD
AMCR,8.3,-2.92,20614200,USD
CNQ.TO,42.06,-2.93,15783340,CAD
AIG,79.21,-2.93,4358760,USD
SBUX,85.43,-2.94,8564360,USD
ULTA,514.86,-2.97,1601240,USD
GNRC,181.3,-3.01,801540,USD
COIN,299.07,-3.05,7238940,USD
AIZ,211.17,-3.08,452280,USD
DVN,34.76,-3.12,6489700,USD
ORCL,232.8,-3.13,12330360,USD
DLR,163.24,-3.16,1484440,USD
PLTR,153.11,-3.17,62351200,USD
CMG,41.06,-3.18,17716780,USD
HON,214.25,-3.21,3504960,USD
CF,84.48,-3.24,2602940,USD
KKR,135.53,-3.26,2848520,USD
AEP,108.11,-3.28,3347440,USD
ON,49.11,-3.29,7444700,USD
NTR.TO,78.16,-3.34,1465740,CAD
OXY,45.91,-3.37,8056540,USD
TPL,889.19,-3.38,122160,USD
TSCO,60.52,-3.4,4488880,USD
DDOG,136.08,-3.46,4295580,USD
